--ARVONTATAPA
tamy

--PAIKKOJA
#Edustajiston paikkamäärä
60

--RENKAAT
# renkaan numero, nimi, tunnus
1,Pelastusrengas,Pelast
2,Svenska Nationer och Ämnesföreningar (SNÄf),SNÄf
3,HELP,HELP
4,Maailmanpyörä,MP
5,Osakuntien suuri vaalirengas,Osak
6,Ainejärjestöjen vaalirengas,HYAL

--LIITOT
# liiton numero, renkaan numero, nimi, lyhenne
1,0,Akateemiset piraatit,Pirate
2,0,Tsemppi Group,Tsempp
3,0,Opiskelijademarit,OSY
4,1,Kokoomusopiskelijat 1,Kok1
5,1,Kokoomusopiskelijat 2,Kok2
6,1,Keskeiset,Kesk
7,1,KD Helsingin Opiskelijat,KD
8,2,Codex-Thorax,CodTho
9,2,Nationerna,Nation
10,2,StudOrg,StudO
11,2,Ämnesföreningarna,Ämnesf
12,0,Liberaalinen vaaliliitto - Yksilönvapauden puolesta,Liberal
13,3,Pykälä,Pykälä
14,3,LKS/HLKS,LKSHLKS
15,3,EKY,EKY
16,0,Perussuomalainen vaaliliitto,Peruss
17,4,Sitoutumaton vasemmisto - Obunden vänster - Independent left,SitVas
18,4,HYYn Vihreät - De Gröna vid HUS,HyVi
19,5,ESO,ESO
20,5,SavO,SavO
21,5,HO-Natura,HO-Nat
22,5,KSO-VSO,KSOVSO
23,5,SatO-ESO2,SatESO
24,5,Domus Gaudiumin Osakunnat,DG
25,5,EPO,EPO
26,5,PPO,PPO
27,6,Humanistit,Humani
28,6,Kumpula,Kumpula
29,6,Käyttis,Käyttis
30,6,Teologit,Teolog
31,6,Valtiotieteilijät,Valtio
32,6,Viikki,Viikki
33,0,Vaaliliittoon kuulumaton ehdokas,ITE



--EHDOKKAAT
#ehdokkaan numero, liiton numero, nimi,0
2, 1, Apajalahti Ahto, 28; 0,0,0
3, 1, Hanski Joni, 5; 0,0,0
4, 1, Mäkinen Joonas, 32; 0,0,0
5, 1, Söderholm Lotta, 36; 0,0,0
6, 2, Toivanen Julia, 23; 0,0,0
7, 2, Liu Tianyan, 13; 0,0,0
8, 2, Long Feiran, 0; 0,0,0
9, 2, Bessonova Anna, 39; 0,0,0
10, 2, Rasmussen Soren, 15; 0,0,0
11, 2, Leinius Johanna, 14; 0,0,0
12, 2, Gagné Stéphanie, 25; 0,0,0
13, 2, Franchin Alessandro, 4; 1,0,0
14, 2, Helenius Marja-Liisa, 2; 1,0,0
15, 2, Chenna Naveen, 4; 2,0,1
16, 2, Arohi Anupam, 10; 0,0,0
17, 2, Laster Zach, 5; 0,0,0
18, 2, Diatlova Nastia, 6; 0,0,0
19, 2, Hossain Shakhawat, 2; 2,0,0
20, 2, Strickman Rachel, 3; 0,0,0
21, 3, Boldt Hildur, 5; 3,0,0
22, 3, Eriksson-Bique Sylvester, 9; 4,0,0
23, 3, Erra Johannes, 4; 5,0,0
24, 3, Iso-Lotila Joona, 9; 1,0,0
25, 3, Heinäluoma Ida, 3; 2,0,0
26, 3, Häkkinen Anssi, 4; 2,0,0
27, 3, Häkkinen Juha, 4; 3,0,0
28, 3, Häkkinen Satu-Maria, 3; 4,0,0
29, 3, Hytti Antti, 2; 2,0,0
30, 3, Jalava Tuomas, 2; 1,0,0
31, 3, Juntumaa Inari, 7; 0,0,0
32, 3, Kammonen Viljami, 1; 2,0,0
33, 3, Korkeela Tiina, 2; 4,0,0
34, 3, Kuisma Jukka, 3; 1,0,0
35, 3, Laukia Joonas, 5; 1,0,0
36, 3, Lehmijoki Marja, 9; 3,0,0
37, 3, Lipponen Elisa, 18; 0,0,0
38, 3, Lähdesmäki Sini, 1; 3,0,0
39, 3, Meltti Sonia, 8; 0,0,0
40, 3, Muona Marianne, 4; 1,0,0
41, 3, Niemi Matti, 24; 0,0,0
42, 3, Ortiz-Nieminen Oscar, 1; 1,0,0
43, 3, Papunen Erkki, 3; 3,0,0
44, 3, Penny Kaisa, 5; 2,0,0
45, 3, Sauli Mikko, 6; 1,0,0
46, 3, Selinummi Elisa, 4; 4,0,0
47, 3, Sihto Ville, 6; 2,0,0
48, 3, Tuominen Pekka, 0; 0,0,0
49, 3, Vaara Piia, 6; 3,0,0
50, 3, Välimäki Heta, 9; 2,0,0
