"candidate_number","coalition_proportional","alliance_proportional"
2,33.66667,33.66667
3,25.25,25.25
4,50.5,50.5
5,101,101
6,55,55
7,27.5,27.5
8,11,11
9,165,165
10,41.25,41.25
11,33,33
12,82.5,82.5
13,16.5,16.5
14,12.69231,12.69231
15,15,15
16,23.57143,23.57143
17,18.33333,18.33333
18,20.625,20.625
19,11.78571,11.78571
20,13.75,13.75
21,14.30769,14.30769
22,46.5,46.5
23,11.625,11.625
24,37.2,37.2
25,8.85714,8.85714
26,9.78947,9.78947
27,10.94118,10.94118
28,8.45455,8.45455
29,6.88889,6.88889
30,7.15385,7.15385
31,20.66667,20.66667
32,6.2,6.2
33,6.64286,6.64286
34,7.75,7.75
35,13.28571,13.28571
36,26.57143,26.57143
37,93,93
38,6,6
39,23.25,23.25
40,9.3,9.3
41,186,186
42,6.41379,6.41379
43,8.08696,8.08696
44,12.4,12.4
45,18.6,18.6
46,10.33333,10.33333
47,16.90909,16.90909
48,5.8125,5.8125
49,15.5,15.5
50,31,31
51,7.44,7.44
52,62,62
53,27.62857,26.66667
54,10.86517,10
55,18.24528,17.77778
56,26.13514,24.61538
57,9.76768,8.64865
58,14.22059,13.91304
59,23.58537,22.85714
60,241.75,160
61,7.92623,6.53061
62,30.21875,29.09091
63,56.88235,53.33333
64,9.03738,7.80488
65,19.34,18.82353
66,967,320
67,9.86735,8.88889
68,8.87156,7.61905
69,33.34483,32
70,13.61972,13.33333
71,96.7,80
72,8.33621,6.95652
73,10.51087,9.69697
74,10.28723,9.41176
75,14.87692,14.54545
76,120.875,106.66667
77,16.38983,16
78,21.97727,21.33333
79,69.07143,64
80,11.93827,11.42857
81,10.07292,9.14286
82,11.11494,10.32258
83,9.57426,8.42105
84,15.59677,15.2381
85,21.02174,20
86,17.26786,16.84211
87,8.48246,7.11111
88,8.71171,7.44186
89,38.68,35.55556
90,13.24658,12.8
91,12.39744,11.85185
92,8.19492,6.80851
93,8.05833,6.66667
94,42.04348,40
95,9.38835,8.20513
96,9.20952,8
97,11.6506,11.03448
98,11.24419,10.66667
99,8.63393,7.27273
100,12.72368,12.30769
101,48.35,45.71429
102,31.19355,29.77778
103,7.49612,5.58333
104,16.11667,15.76471
105,107.44444,89.33333
106,7.6746,5.95556
107,18.59615,17.86667
108,7.736,6.09091
109,21.48889,20.61538
110,23.02381,22.33333
111,28.44118,26.8
