"candidate_number","candidate_draw_order"
13,1
14,1
15,2
19,2
21,3
22,4
23,5
24,1
25,2
26,2
27,3
28,4
29,2
30,1
32,2
33,4
34,1
35,1
36,3
38,3
40,1
42,1
43,3
44,2
45,1
46,4
47,2
49,3
50,2
51,3
53,1
54,5
55,2
56,2
57,5
58,3
59,3
61,5
62,2
63,1
64,6
67,4
68,3
69,1
70,8
71,1
72,7
73,2
74,1
75,2
77,1
78,5
79,2
80,1
81,3
82,5
83,2
84,1
85,4
86,3
87,1
88,3
89,1
90,3
91,2
92,2
93,4
94,2
95,1
96,4
97,6
98,7
99,6
100,4
101,2
102,1
103,2
104,1
106,1
108,3
109,1
110,2
111,3
113,7
114,3
115,5
116,1
117,5
118,1
119,8
120,7
121,6
122,5
123,7
124,1
125,3
126,2
127,4
130,2
131,6
132,8
133,1
135,3
136,4
137,3
138,2
139,1
140,4
141,8
142,9
143,2
144,2
146,2
147,5
148,2
149,4
150,6
151,1
153,1
155,1
158,1
159,2
163,2
166,2
167,2
170,2
172,2
174,2
175,2
176,1
178,1
179,1
181,1
182,3
183,1
186,2
187,3
191,2
192,3
193,2
194,1
196,3
198,1
200,2
202,1
204,2
206,1
209,1
218,2
229,1
230,4
231,6
232,2
233,1
235,2
237,2
238,3
240,2
241,1
242,2
244,1
245,4
246,5
247,4
248,2
249,3
250,5
251,1
252,3
254,2
255,2
256,3
257,3
258,4
259,1
260,3
261,3
263,1
267,1
268,1
269,4
270,2
278,2
279,1
284,2
286,1
288,2
291,1
295,2
298,2
299,1
300,1
306,1
308,2
309,2
310,4
313,3
314,5
315,2
316,1
317,2
318,2
319,1
320,3
321,1
325,1
326,3
327,1
328,2
329,3
330,1
331,1
332,1
333,4
334,2
336,3
338,1
339,2
341,2
342,2
343,4
345,2
346,2
347,1
348,2
349,4
350,1
351,3
352,3
353,1
354,3
359,3
361,2
362,1
363,1
364,2
366,3
368,3
369,1
372,2
373,2
376,2
377,4
378,1
381,2
384,2
386,1
389,1
391,2
392,1
394,1
395,4
396,1
397,5
398,1
399,6
400,2
401,3
402,1
403,3
404,4
405,2
406,1
408,1
409,2
410,2
413,2
415,1
417,3
418,2
420,2
421,1
422,5
423,1
424,2
425,3
426,1
427,1
428,4
429,7
430,2
431,3
433,2
434,2
435,2
436,2
437,1
438,1
439,3
440,1
441,3
442,6
443,5
444,3
445,2
446,4
447,2
448,1
449,6
450,3
451,3
452,7
453,6
454,4
455,5
458,1
459,4
460,3
461,4
462,4
463,5
464,6
465,8
466,2
467,4
468,2
469,6
471,3
472,1
473,2
474,3
475,1
476,1
477,4
478,3
479,2
480,8
481,5
482,5
484,1
485,5
487,2
488,4
490,5
491,1
492,4
493,3
494,3
495,2
496,1
497,4
498,1
499,5
500,2
502,3
503,1
504,2
505,7
506,1
507,9
508,6
510,5
511,2
512,3
514,1
515,1
516,4
517,2
518,4
519,2
520,1
521,3
522,2
523,3
524,3
526,8
527,10
528,1
529,9
531,6
532,7
533,2
534,1
535,4
536,3
537,4
538,2
539,2
540,3
541,3
544,1
545,1
546,4
547,5
549,2
551,1
552,1
554,6
555,11
556,8
557,4
559,5
560,2
563,2
564,10
565,3
567,2
568,3
569,1
570,1
571,2
572,4
573,1
574,1
575,6
576,1
577,2
578,2
582,2
583,5
584,4
585,2
586,1
587,1
589,3
590,2
591,3
592,5
594,2
595,1
596,4
598,1
599,2
601,1
602,3
604,1
605,1
606,6
607,1
609,2
610,1
611,1
612,1
613,8
614,6
615,3
616,3
617,2
618,4
619,5
620,5
621,6
622,4
623,2
624,2
625,2
626,3
627,3
628,2
629,4
630,1
631,3
632,10
633,2
634,5
635,4
636,7
637,9
638,2
639,5
640,2
641,7
642,2
643,2
644,2
645,1
646,2
647,6
648,1
649,3
650,3
651,3
652,2
653,4
654,3
655,5
656,4
658,3
659,1
660,1
661,2
662,1
664,3
665,4
667,6
668,5
669,1
670,4
672,5
673,8
674,1
675,6
677,1
678,3
679,2
680,1
681,4
682,2
683,5
684,8
685,3
686,2
687,6
688,4
689,6
690,1
692,7
694,9
695,5
696,2
697,5
698,1
700,2
701,2
702,8
703,3
704,1
705,2
706,7
707,3
709,13
710,1
711,1
712,7
713,1
714,14
716,15
717,2
718,2
719,4
723,3
724,1
725,1
726,4
727,9
728,9
729,3
730,6
731,8
732,12
733,2
734,10
735,11
736,5
737,10
738,3
739,4
740,1
743,3
744,2
745,3
746,3
747,2
748,5
749,6
750,4
751,9
753,7
754,6
755,4
756,4
757,2
758,1
759,1
760,1
761,1
763,1
764,3
765,2
766,3
767,1
768,4
769,5
771,8
773,1
774,2
775,5
776,3
777,2
778,3
779,2
781,2
782,1
783,1
784,1
786,3
787,3
790,3
791,2
793,2
796,2
800,4
801,3
802,1
805,2
807,2
808,2
810,1
813,4
814,1
815,3
816,1
819,3
821,2
830,1
834,2
852,2
853,1
856,1
859,2
860,1
865,1
867,2
869,2
870,3
871,1
872,1
873,3
874,2
876,2
877,2
878,1
880,2
883,1
886,1
892,2
895,2
903,1
